dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_iterations_to_convergence_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.4.h.txt,100,4,2,522.0,522.0,519.0,4.242640687119285,0.2250930999871343,0.2250930999871343,3.5,50.0,0.5747126436781609,1.1494252873563218,100,4,2,528.0,528.0,526.5,2.1213203435596424,0.2033609999998589,0.2033609999998589,13.0,50.0,0.2840909090909091,0.5681818181818182,7.5,-0.021732099987275405,-0.29062173458725177
chao,p4.4.i.txt,100,4,2,636.0,636.0,630.5,7.7781745930520225,0.2890740499715321,0.2890740499715321,12.5,50.0,0.8647798742138365,1.729559748427673,100,4,2,636.0,636.0,629.0,9.899494936611664,0.2350513499986846,0.2350513499986846,10.5,50.0,1.10062893081761,2.20125786163522,-1.5,-0.05402269997284748,0.23584905660377353
chao,p4.4.j.txt,100,4,2,702.0,702.0,685.5,23.33452377915607,0.2976284999749623,0.2976284999749623,15.0,50.0,2.3504273504273505,4.700854700854701,100,4,2,711.0,711.0,693.0,25.45584412271571,0.2660393500000282,0.2660393500000282,8.5,50.0,2.5316455696202533,5.063291139240507,7.5,-0.031589149974934116,0.18121821919290282
chao,p4.4.k.txt,100,4,2,748.0,748.0,744.5,4.949747468305833,0.3587614999851212,0.3587614999851212,18.5,50.0,0.4679144385026738,0.9358288770053476,100,4,2,745.0,745.0,727.0,25.45584412271571,0.2858601500001896,0.2858601500001896,14.0,50.0,2.416107382550336,4.832214765100671,-17.5,-0.07290134998493158,1.9481929440476624
chao,p4.4.l.txt,100,4,2,836.0,836.0,796.0,56.56854249492381,0.3659735999535769,0.3659735999535769,6.5,50.0,4.784688995215311,9.569377990430622,100,4,2,838.0,838.0,827.5,14.849242404917495,0.3167572999991535,0.3167572999991535,16.5,50.0,1.2529832935560858,2.505966587112172,31.5,-0.04921629995442345,-3.5317057016592255
chao,p4.4.m.txt,100,4,2,896.0,896.0,871.0,35.35533905932738,0.4071044499869458,0.4071044499869458,18.0,50.0,2.790178571428572,5.580357142857143,100,4,2,901.0,901.0,875.5,36.06244584051392,0.3150541000004523,0.3150541000004523,13.5,50.0,2.8301886792452837,5.660377358490567,4.5,-0.09205034998649347,0.04001010781671166
chao,p4.4.n.txt,100,4,2,928.0,928.0,914.0,19.79898987322333,0.4221605000202544,0.4221605000202544,16.5,50.0,1.5086206896551724,3.0172413793103448,100,4,2,927.0,927.0,897.0,42.42640687119285,0.3603985499994451,0.3603985499994451,6.0,50.0,3.2362459546925564,6.472491909385113,-17.0,-0.06176195002080931,1.727625265037384
chao,p4.4.o.txt,100,4,2,972.0,972.0,972.0,0.0,0.4415632499731146,0.4415632499731146,11.0,100.0,0.0,0.0,100,4,2,962.0,962.0,962.0,0.0,0.3782180999996853,0.3782180999996853,16.5,100.0,0.0,0.0,-10.0,-0.06334514997342927,0.0
chao,p4.4.p.txt,100,4,2,1009.0,1009.0,972.5,51.61879502661797,0.406233899993822,0.406233899993822,12.0,50.0,3.617443012884044,7.234886025768088,100,4,2,1005.0,1005.0,974.5,43.1335136523794,0.3619144000003871,0.3619144000003871,13.0,50.0,3.0348258706467663,6.069651741293533,2.0,-0.044319499993434874,-0.5826171422372775
chao,p4.4.q.txt,100,4,2,1051.0,1051.0,1031.0,28.284271247461906,0.4420593499671668,0.4420593499671668,16.5,50.0,1.9029495718363465,3.805899143672693,100,4,2,1063.0,1063.0,1044.0,26.87005768508881,0.3831727999995564,0.3831727999995564,17.5,50.0,1.7873941674506115,3.574788334901223,13.0,-0.05888654996761039,-0.11555540438573497
chao,p4.4.r.txt,100,4,2,1126.0,1126.0,1124.5,2.1213203435596424,0.4513217000057921,0.4513217000057921,18.0,50.0,0.1332149200710479,0.2664298401420959,100,4,2,1129.0,1129.0,1108.0,29.698484809834994,0.3554291000000376,0.3554291000000376,11.0,50.0,1.8600531443755532,3.720106288751107,-16.5,-0.0958926000057545,1.7268382243045053
chao,p4.4.s.txt,100,4,2,1180.0,1180.0,1135.5,62.932503525602726,0.4528376000234857,0.4528376000234857,9.0,50.0,3.7711864406779663,7.5423728813559325,100,4,2,1185.0,1185.0,1184.5,0.7071067811865476,0.3446569500001715,0.3446569500001715,15.0,50.0,0.0421940928270042,0.0843881856540084,49.0,-0.10818065002331423,-3.728992347850962
chao,p4.4.t.txt,100,4,2,1256.0,1256.0,1232.0,33.94112549695428,0.4508043500245549,0.4508043500245549,18.0,50.0,1.910828025477707,3.821656050955414,100,4,2,1235.0,1235.0,1222.5,17.67766952966369,0.3610146499995608,0.3610146499995608,19.5,50.0,1.0121457489878545,2.0242914979757085,-9.5,-0.08978970002499409,-0.8986822764898525
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.0065761000150814,0.0065761000150814,0.0,100.0,0.0,0.0,66,2,2,0.0,0.0,0.0,0.0,0.0039601499993295,0.0039601499993295,0.0,100.0,0.0,0.0,0.0,-0.0026159500157519004,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.02283220004756,0.02283220004756,0.0,100.0,0.0,0.0,66,2,2,20.0,20.0,20.0,0.0,0.0161737999997058,0.0161737999997058,0.0,100.0,0.0,0.0,0.0,-0.006658400047854202,0.0
chao,p5.2.c.txt,66,2,2,50.0,50.0,50.0,0.0,0.0303518999717198,0.0303518999717198,9.0,100.0,0.0,0.0,66,2,2,50.0,50.0,50.0,0.0,0.0172184000002744,0.0172184000002744,7.0,100.0,0.0,0.0,0.0,-0.0131334999714454,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.0517628999659791,0.0517628999659791,1.0,100.0,0.0,0.0,66,2,2,80.0,80.0,80.0,0.0,0.0235980999996172,0.0235980999996172,1.0,100.0,0.0,0.0,0.0,-0.028164799966361904,0.0
chao,p5.2.e.txt,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.0494769000215455,0.0494769000215455,4.5,50.0,1.3888888888888888,2.7777777777777777,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.0325861000001168,0.0325861000001168,4.5,50.0,1.3888888888888888,2.7777777777777777,0.0,-0.016890800021428697,0.0
chao,p5.2.f.txt,66,2,2,240.0,240.0,227.5,17.67766952966369,0.0373171999817714,0.0373171999817714,4.0,50.0,5.208333333333334,10.416666666666668,66,2,2,215.0,215.0,215.0,0.0,0.0320444000008137,0.0320444000008137,1.5,100.0,0.0,0.0,-12.5,-0.005272799980957706,-5.208333333333334
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,0.0504671499948017,0.0504671499948017,1.5,100.0,0.0,0.0,66,2,2,320.0,320.0,320.0,0.0,0.0410156000007191,0.0410156000007191,1.5,100.0,0.0,0.0,0.0,-0.009451549994082604,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.0557649999973364,0.0557649999973364,2.0,50.0,0.641025641025641,1.282051282051282,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.0478367500008971,0.0478367500008971,1.5,50.0,0.641025641025641,1.282051282051282,0.0,-0.007928249996439297,0.0
chao,p5.2.i.txt,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.0656339999986812,0.0656339999986812,6.5,50.0,0.5434782608695652,1.0869565217391304,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.0508355499996469,0.0508355499996469,6.5,50.0,0.5434782608695652,1.0869565217391304,0.0,-0.014798449999034305,0.0
