dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_lp_solves_base,mean_labels_generated_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_lp_solves_improved,mean_labels_generated_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.4.m.txt,100,4,1,427.0,427.0,427.0,0.0,1.9828297999920323,1.9828297999920323,2.0,652080.0,100.0,0.0,0.0,100,4,2,427.0,427.0,427.0,0.0,3.655764000082854,3.655764000082854,6.0,1956240.0,100.0,0.0,0.0,0.0,1.6729342000908218,0.0
chao,p4.4.n.txt,100,4,1,435.0,435.0,435.0,0.0,2.2422504000132903,2.2422504000132903,2.0,526592.0,100.0,0.0,0.0,100,4,2,435.0,435.0,435.0,0.0,4.029687450034544,4.029687450034544,6.0,1579776.0,100.0,0.0,0.0,0.0,1.7874370500212535,0.0
chao,p4.4.o.txt,100,4,1,451.0,451.0,451.0,0.0,2.4201558000640944,2.4201558000640944,2.0,652080.0,100.0,0.0,0.0,100,4,2,451.0,451.0,451.0,0.0,4.526684349984862,4.526684349984862,6.0,1956240.0,100.0,0.0,0.0,0.0,2.1065285499207675,0.0
chao,p4.4.p.txt,100,4,1,467.0,467.0,467.0,0.0,2.8031352000543848,2.8031352000543848,2.0,652080.0,100.0,0.0,0.0,100,4,2,467.0,467.0,467.0,0.0,4.787444499961566,4.787444499961566,6.0,1956240.0,100.0,0.0,0.0,0.0,1.9843092999071814,0.0
chao,p4.4.q.txt,100,4,1,487.0,487.0,487.0,0.0,2.904704899992794,2.904704899992794,2.0,652080.0,100.0,0.0,0.0,100,4,2,487.0,487.0,487.0,0.0,6.285434250079561,6.285434250079561,6.0,1956240.0,100.0,0.0,0.0,0.0,3.3807293500867672,0.0
chao,p4.4.r.txt,100,4,1,494.0,494.0,494.0,0.0,3.0238145999610424,3.0238145999610424,2.0,652080.0,100.0,0.0,0.0,100,4,2,494.0,494.0,494.0,0.0,8.7447282000212,8.7447282000212,6.0,1956240.0,100.0,0.0,0.0,0.0,5.7209136000601575,0.0
chao,p4.4.s.txt,100,4,1,506.0,506.0,506.0,0.0,3.2035170999588445,3.2035170999588445,2.0,652080.0,100.0,0.0,0.0,100,4,2,506.0,506.0,506.0,0.0,9.42741079989355,9.42741079989355,6.0,1956240.0,100.0,0.0,0.0,0.0,6.223893699934706,0.0
chao,p4.4.t.txt,100,4,1,511.0,511.0,511.0,0.0,3.3081535999663174,3.3081535999663174,2.0,652080.0,100.0,0.0,0.0,100,4,2,511.0,511.0,511.0,0.0,9.851034700113814,9.851034700113814,6.0,1956240.0,100.0,0.0,0.0,0.0,6.542881100147497,0.0
chao,p5.2.a.txt,66,2,1,0.0,0.0,0.0,0.0,0.0757889000233262,0.0757889000233262,1.0,1408.0,100.0,0.0,0.0,66,2,2,0.0,0.0,0.0,0.0,0.1678276999155059,0.1678276999155059,3.0,4224.0,100.0,0.0,0.0,0.0,0.0920387998921797,0.0
chao,p5.2.b.txt,66,2,1,20.0,20.0,20.0,0.0,0.1265277999918908,0.1265277999918908,1.0,8272.0,100.0,0.0,0.0,66,2,2,20.0,20.0,20.0,0.0,0.2708068499341607,0.2708068499341607,3.0,24816.0,100.0,0.0,0.0,0.0,0.14427904994226992,0.0
chao,p5.2.c.txt,66,2,1,40.0,40.0,40.0,0.0,0.1464638999896124,0.1464638999896124,1.0,8272.0,100.0,0.0,0.0,66,2,2,40.0,40.0,40.0,0.0,0.5237316500279121,0.5237316500279121,3.0,24816.0,100.0,0.0,0.0,0.0,0.3772677500382997,0.0
chao,p5.2.d.txt,66,2,1,80.0,80.0,80.0,0.0,0.29634089989122,0.29634089989122,2.0,40480.0,100.0,0.0,0.0,66,2,2,80.0,80.0,80.0,0.0,0.9560517999925652,0.9560517999925652,6.0,121440.0,100.0,0.0,0.0,0.0,0.6597109001013453,0.0
chao,p5.2.e.txt,66,2,1,170.0,170.0,170.0,0.0,0.6089203000301495,0.6089203000301495,2.0,56056.0,100.0,0.0,0.0,66,2,2,170.0,170.0,170.0,0.0,1.535302449890878,1.535302449890878,6.0,168168.0,100.0,0.0,0.0,0.0,0.9263821498607285,0.0
chao,p5.2.f.txt,66,2,1,190.0,190.0,190.0,0.0,0.892984899925068,0.892984899925068,2.0,56056.0,100.0,0.0,0.0,66,2,2,190.0,190.0,190.0,0.0,2.6568053999799304,2.6568053999799304,6.0,168168.0,100.0,0.0,0.0,0.0,1.7638205000548624,0.0
chao,p5.2.g.txt,66,2,1,320.0,320.0,320.0,0.0,1.377479999908246,1.377479999908246,2.0,116160.0,100.0,0.0,0.0,66,2,2,320.0,320.0,320.0,0.0,3.665278750064317,3.665278750064317,6.0,348480.0,100.0,0.0,0.0,0.0,2.287798750156071,0.0
chao,p5.2.h.txt,66,2,1,390.0,390.0,390.0,0.0,1.617109499988146,1.617109499988146,2.0,140360.0,100.0,0.0,0.0,66,2,2,390.0,390.0,390.0,0.0,4.515022499894258,4.515022499894258,6.0,421080.0,100.0,0.0,0.0,0.0,2.8979129999061115,0.0
chao,p5.2.i.txt,66,2,1,435.0,435.0,435.0,0.0,2.733896199963056,2.733896199963056,3.0,205480.0,100.0,0.0,0.0,66,2,2,435.0,435.0,435.0,0.0,7.338198249984998,7.338198249984998,9.0,616440.0,100.0,0.0,0.0,0.0,4.604302050021943,0.0
chao,p5.2.j.txt,66,2,1,560.0,560.0,560.0,0.0,2.1780161999631678,2.1780161999631678,2.0,224224.0,100.0,0.0,0.0,66,2,2,560.0,560.0,560.0,0.0,6.061038000101689,6.061038000101689,6.0,672672.0,100.0,0.0,0.0,0.0,3.8830218001385215,0.0
chao,p5.2.k.txt,66,2,1,620.0,620.0,620.0,0.0,2.35669849999249,2.35669849999249,2.0,224224.0,100.0,0.0,0.0,66,2,2,620.0,620.0,620.0,0.0,6.2793078000540845,6.2793078000540845,6.0,672672.0,100.0,0.0,0.0,0.0,3.9226093000615947,0.0
chao,p5.2.l.txt,66,2,1,700.0,700.0,700.0,0.0,2.371125299949199,2.371125299949199,2.0,288640.0,100.0,0.0,0.0,66,2,2,700.0,700.0,700.0,0.0,6.713643950002734,6.713643950002734,6.5,938080.0,100.0,0.0,0.0,0.0,4.342518650053535,0.0
